UTC TIME,ACP SAMPLING TIME,MINUS15VOLT,15VOLT,5VOLT,RCAL,R0,TCGND,VREF1,VREF2,VREF3
2005-01-14T09:11:17:175,55.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:17:425,55.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:17:675,55,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:17:925,55.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:18:175,55.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:18:425,55.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:18:675,56,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:18:925,56.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:19:175,56.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:19:425,56.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:19:675,57,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:19:925,57.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:20:175,57.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:20:425,57.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:20:675,58,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:20:925,58.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:21:175,58.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:21:425,58.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:21:675,59,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:21:925,59.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:22:175,59.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
