EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:26:31.000,2040009102
2005-01-14T10:26:33.000,2040009102
2005-01-14T10:26:35.000,2040009102
2005-01-14T10:26:37.000,2040009101
2005-01-14T10:26:39.000,2040009101
2005-01-14T10:26:41.000,2040009102
2005-01-14T10:26:43.000,2040009102
2005-01-14T10:26:45.000,2040009103
2005-01-14T10:26:47.000,2040009104
2005-01-14T10:26:49.000,2040009104
2005-01-14T10:26:51.000,2040009105
2005-01-14T10:26:53.000,2040009106
2005-01-14T10:26:55.000,2040009107
2005-01-14T10:26:57.000,2040009107
2005-01-14T10:26:59.000,2040009106
2005-01-14T10:27:01.000,2040009107
2005-01-14T10:27:03.000,2040009107
2005-01-14T10:27:05.000,2040009108
2005-01-14T10:27:07.000,2040009108
2005-01-14T10:28:25.000,2040009087
2005-01-14T10:28:27.000,2040009085
2005-01-14T10:28:29.000,2040009083
2005-01-14T10:28:31.000,2040009080
2005-01-14T10:28:33.000,2040009076
2005-01-14T10:28:35.000,2040009073
2005-01-14T10:28:37.000,2040009070
2005-01-14T10:28:39.000,2040009067
2005-01-14T10:28:41.000,2040009064
2005-01-14T10:28:43.000,2040009061
2005-01-14T10:28:45.000,2040009061
2005-01-14T10:28:47.000,2040009060
2005-01-14T10:28:49.000,2040009059
2005-01-14T10:28:51.000,2040009057
2005-01-14T10:28:53.000,2040009056
2005-01-14T10:28:55.000,2040009055
2005-01-14T10:28:57.000,2040009053
2005-01-14T10:28:59.000,2040009052
2005-01-14T10:29:01.000,2040009050
2005-01-14T10:29:03.000,2040009049
2005-01-14T10:29:05.000,2040009048
2005-01-14T10:29:07.000,2040009047
2005-01-14T10:29:09.000,2040009046
2005-01-14T10:29:11.000,2040009045
2005-01-14T10:29:13.000,2040009043
2005-01-14T10:29:15.000,2040009040
2005-01-14T10:29:17.000,2040009038
2005-01-14T10:29:19.000,2040009035
2005-01-14T10:29:21.000,2040009033
2005-01-14T10:29:23.000,2040009031
2005-01-14T10:29:25.000,2040009027
2005-01-14T10:29:27.000,2040009024
2005-01-14T10:29:29.000,2040009022
2005-01-14T10:29:31.000,2040009022
2005-01-14T10:29:33.000,2040009020
2005-01-14T10:29:35.000,2040009021
2005-01-14T10:29:37.000,2040009020
2005-01-14T10:29:39.000,2040009019
2005-01-14T10:29:41.000,2040009019
2005-01-14T10:29:43.000,2040009018
2005-01-14T10:29:45.000,2040009016
2005-01-14T10:29:47.000,2040009017
2005-01-14T10:29:49.000,2040009017
2005-01-14T10:29:51.000,2040009018
2005-01-14T10:29:53.000,2040009017
2005-01-14T10:29:55.000,2040009016
2005-01-14T10:29:57.000,2040009014
2005-01-14T10:29:59.000,2040009011
2005-01-14T10:30:01.000,2040009008
2005-01-14T10:30:03.000,2040009005
2005-01-14T10:30:05.000,2040009003
2005-01-14T10:30:07.000,2040009002
2005-01-14T10:31:19.000,2040008948
2005-01-14T10:31:21.000,2040008945
2005-01-14T10:31:23.000,2040008941
2005-01-14T10:31:25.000,2040008940
2005-01-14T10:31:27.000,2040008939
2005-01-14T10:31:29.000,2040008937
2005-01-14T10:31:31.000,2040008934
2005-01-14T10:31:33.000,2040008931
2005-01-14T10:31:35.000,2040008927
2005-01-14T10:31:37.000,2040008926
2005-01-14T10:31:39.000,2040008925
2005-01-14T10:31:41.000,2040008924
2005-01-14T10:31:43.000,2040008924
2005-01-14T10:31:45.000,2040008923
2005-01-14T10:31:47.000,2040008922
2005-01-14T10:31:49.000,2040008920
2005-01-14T10:31:51.000,2040008918
2005-01-14T10:31:53.000,2040008915
2005-01-14T10:31:55.000,2040008912
2005-01-14T10:31:57.000,2040008909
2005-01-14T10:31:59.000,2040008907
2005-01-14T10:32:01.000,2040008905
2005-01-14T10:32:03.000,2040008905
2005-01-14T10:32:05.000,2040008905
2005-01-14T10:32:07.000,2040008905
2005-01-14T10:32:09.000,2040008904
2005-01-14T10:32:11.000,2040008903
2005-01-14T10:32:13.000,2040008901
2005-01-14T10:32:15.000,2040008898
2005-01-14T10:32:17.000,2040008895
2005-01-14T10:32:19.000,2040008893
2005-01-14T10:32:21.000,2040008892
2005-01-14T10:32:23.000,2040008892
2005-01-14T10:32:25.000,2040008893
2005-01-14T10:32:27.000,2040008892
2005-01-14T10:32:29.000,2040008882
2005-01-14T10:32:31.000,2040008871
2005-01-14T10:32:33.000,2040008860
2005-01-14T10:32:35.000,2040008849
2005-01-14T10:32:37.000,2040008838
2005-01-14T10:32:39.000,2040008828
2005-01-14T10:32:41.000,2040008819
2005-01-14T10:32:43.000,2040008811
2005-01-14T10:32:45.000,2040008798
2005-01-14T10:32:47.000,2040008792
2005-01-14T10:32:49.000,2040008781
2005-01-14T10:32:51.000,2040008775
2005-01-14T10:32:53.000,2040008766
2005-01-14T10:32:55.000,2040008758
2005-01-14T10:32:57.000,2040008751
2005-01-14T10:32:59.000,2040008744
2005-01-14T10:33:01.000,2040008738
2005-01-14T10:33:03.000,2040008732
2005-01-14T10:33:05.000,2040008727
2005-01-14T10:33:07.000,2040008720
2005-01-14T10:34:27.000,2040008636
2005-01-14T10:34:29.000,2040008636
2005-01-14T10:34:31.000,2040008636
2005-01-14T10:34:33.000,2040008637
2005-01-14T10:34:35.000,2040008637
2005-01-14T10:34:37.000,2040008638
2005-01-14T10:34:39.000,2040008636
2005-01-14T10:34:41.000,2040008638
2005-01-14T10:34:43.000,2040008638
2005-01-14T10:34:45.000,2040008638
2005-01-14T10:34:47.000,2040008637
2005-01-14T10:34:49.000,2040008637
2005-01-14T10:34:51.000,2040008637
2005-01-14T10:34:53.000,2040008638
2005-01-14T10:34:55.000,2040008638
2005-01-14T10:34:57.000,2040008637
2005-01-14T10:34:59.000,2040008635
2005-01-14T10:35:01.000,2040008636
2005-01-14T10:35:03.000,2040008639
2005-01-14T10:35:05.000,2040008638
2005-01-14T10:35:07.000,2040008636
2005-01-14T10:35:09.000,2040008634
2005-01-14T10:35:11.000,2040008633
2005-01-14T10:35:13.000,2040008635
2005-01-14T10:35:15.000,2040008635
2005-01-14T10:35:17.000,2040008633
2005-01-14T10:35:19.000,2040008631
2005-01-14T10:35:21.000,2040008631
2005-01-14T10:35:23.000,2040008633
2005-01-14T10:35:25.000,2040008632
2005-01-14T10:35:27.000,2040008630
2005-01-14T10:35:29.000,2040008631
2005-01-14T10:35:31.000,2040008631
2005-01-14T10:35:33.000,2040008631
2005-01-14T10:35:35.000,2040008628
2005-01-14T10:35:37.000,2040008628
2005-01-14T10:35:39.000,2040008628
2005-01-14T10:35:41.000,2040008629
2005-01-14T10:35:43.000,2040008628
2005-01-14T10:35:45.000,2040008626
2005-01-14T10:35:47.000,2040008627
2005-01-14T10:35:49.000,2040008627
2005-01-14T10:35:51.000,2040008627
2005-01-14T10:35:53.000,2040008626
2005-01-14T10:35:55.000,2040008626
2005-01-14T10:35:57.000,2040008626
2005-01-14T10:35:59.000,2040008625
2005-01-14T10:36:01.000,2040008624
2005-01-14T10:36:03.000,2040008625
2005-01-14T10:37:25.000,2040008607
2005-01-14T10:37:27.000,2040008608
2005-01-14T10:37:29.000,2040008609
2005-01-14T10:37:31.000,2040008609
2005-01-14T10:37:33.000,2040008607
2005-01-14T10:37:35.000,2040008607
2005-01-14T10:37:37.000,2040008607
2005-01-14T10:37:39.000,2040008604
