EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T12:53:32.500,2040010262
2005-01-14T12:53:35.500,2040010260
2005-01-14T12:53:38.500,2040010259
2005-01-14T12:53:41.500,2040010259
2005-01-14T12:53:44.500,2040010258
2005-01-14T12:53:47.500,2040010256
2005-01-14T12:53:50.500,2040010256
2005-01-14T12:53:53.500,2040010254
2005-01-14T12:53:56.500,2040010253
2005-01-14T12:53:59.500,2040010252
2005-01-14T12:54:02.500,2040010251
2005-01-14T12:54:05.500,2040010250
2005-01-14T12:54:08.500,2040010249
2005-01-14T12:55:14.500,2040010225
2005-01-14T12:55:20.500,2040010222
2005-01-14T12:55:23.500,2040010221
2005-01-14T12:55:26.500,2040010220
2005-01-14T12:55:29.500,2040010219
2005-01-14T12:55:32.500,2040010217
2005-01-14T12:55:35.500,2040010217
2005-01-14T12:55:38.500,2040010215
2005-01-14T12:55:41.500,2040010214
2005-01-14T12:55:44.500,2040010213
2005-01-14T12:55:47.500,2040010212
2005-01-14T12:55:50.500,2040010211
2005-01-14T12:55:53.500,2040010210
2005-01-14T12:55:56.500,2040010209
2005-01-14T12:56:02.500,2040010206
2005-01-14T12:56:05.500,2040010205
2005-01-14T12:56:08.500,2040010204
2005-01-14T12:56:11.500,2040010204
2005-01-14T12:56:14.500,2040010202
2005-01-14T12:56:17.500,2040010201
2005-01-14T12:56:20.500,2040010199
2005-01-14T12:56:23.500,2040010199
2005-01-14T12:56:26.500,2040010198
2005-01-14T12:56:29.500,2040010196
2005-01-14T12:56:32.500,2040010195
2005-01-14T12:56:38.500,2040010193
2005-01-14T12:56:41.500,2040010192
2005-01-14T12:56:44.500,2040010191
2005-01-14T12:56:50.500,2040010188
2005-01-14T12:56:53.500,2040010188
2005-01-14T12:56:56.500,2040010187
2005-01-14T12:56:59.500,2040010185
2005-01-14T12:57:02.500,2040010184
2005-01-14T12:58:26.500,2040010153
2005-01-14T12:58:31.500,2040010151
2005-01-14T12:58:36.500,2040010150
2005-01-14T12:58:41.500,2040010148
2005-01-14T12:58:46.500,2040010146
